Away,Home,Day,Slate,Walters (Home),Market (Home),Edge,Bet,Flags,Injuries,HFA,Saved,Source
NE,SEA,Wed,,-8.7,-3.0,5.7,SEA -3.0,,0,,,
SF,LAR,Thu,,-2.35,-3.5,-1.15,SF +3.5,🌍 INTL,0,,,
ARI,LAC,Sun,,-3.18,-9.5,6.32,ARI +9.5,,0,,,
MIA,LV,Sun,,1.05,-3.0,4.05,MIA +3.0,,0,,,
ATL,PIT,Sun,,-3.0,-6.5,3.5,ATL +6.5,,0,,,
TB,CIN,Sun,,-0.63,-3.5,2.87,TB +3.5,,0,,,
DAL,NYG,Sun,,0.7,3.0,2.3,NYG +3.0,,0,,,
CLE,JAX,Sun,,-6.51,-8.5,1.99,CLE +8.5,,0,,,
BAL,IND,Sun,,1.57,3.0,1.43,IND +3.0,,0,,,
GB,MIN,Sun,,-0.39,-1.5,1.11,GB +1.5,,0,,,
WSH,PHI,Sun,,-5.3,-6.0,0.7,,,0,,,
BUF,HOU,Sun,,0.81,1.5,0.69,,,0,,,
NYJ,TEN,Sun,,-1.94,-1.5,0.44,,,0,,,
CHI,CAR,Sun,,2.63,3.0,0.37,,,0,,,
NO,DET,Sun,,-6.74,-7.0,0.26,,,0,,,
DEN,KC,Mon,Mon,-0.94,-2.5,1.56,DEN +2.5,,0,1.5,,backfill
