Away,Home,Day,Slate,Walters (Home),Market (Home),Edge,Bet,Flags,Injuries,HFA,Saved
DET,BUF,Thu,Thu,-5.77,-5.5,0.27,,,0,,
IND,KC,Sun,Sun,-7.24,-6.0,1.24,KC -6.0,,0,,
CLE,TB,Sun,Sun,-2.51,nan,nan,,,0,,
JAX,DEN,Sun,Sun,2.59,nan,nan,,,0,,
LV,LAC,Sun,Sun,-0.14,nan,nan,,,0,,
WSH,DAL,Sun,Sun,0.78,nan,nan,,,0,,
SEA,ARI,Sun,Sun,7.81,nan,nan,,,0,,
MIA,SF,Sun,Sun,-11.82,nan,nan,,,0,,
CAR,ATL,Sun,Sun,-3.06,nan,nan,,,0,,
MIN,CHI,Sun,Sun,-1.39,nan,nan,,,0,,
PHI,TEN,Sun,Sun,5.96,nan,nan,,,0,,
PIT,NE,Sun,Sun,-2.5,nan,nan,,,0,,
GB,NYJ,Sun,Sun,-0.37,nan,nan,,,0,,
NO,BAL,Sun,Sun,-5.58,nan,nan,,,0,,
CIN,HOU,Sun,Sun,-3.68,nan,nan,,,0,,
NYG,LAR,Mon,Mon,-4.47,,,,,0,1.5,
